author_uid,article_uid
0000-0002-4793-7541,10.1371/journal.pcbi.1007696
0000-0001-5963-8576,10.1371/journal.pcbi.1007696
0000-0002-2915-720X,10.1371/journal.pcbi.1007696
0000-0001-5725-6910,10.1371/journal.pcbi.1007696
0000-0002-8562-8213,10.1371/journal.pcbi.1007696
0000-0003-4309-8266,10.1371/journal.pcbi.1007696
0000-0002-2147-5895,10.1371/journal.pcbi.1007696
0000-0002-1457-8028,10.1073/pnas.1906369117
0000-0001-7119-5990,10.1073/pnas.1906369117
0000-0002-0033-8197,10.1073/pnas.1906369117
0000-0003-4580-841X,10.1073/pnas.1906369117
0000-0002-5497-7234,10.1073/pnas.1906369117
0000-0001-8140-9948,10.1162/netn_a_00124
0000-0002-9452-4926,10.1162/netn_a_00124
0000-0002-3149-4934,10.1111/jsr.12800
0000-0001-9120-1761,10.1111/jsr.12800
0000-0002-8605-8515,10.1016/j.neuron.2019.05.019
0000-0002-8561-5324,10.1016/j.neuron.2019.05.019
0000-0003-0384-7699,10.1016/j.neuron.2019.05.019
0000-0002-4793-7541,10.1016/j.neuron.2019.05.019
0000-0001-5503-648X,10.1016/j.neuron.2019.05.019
0000-0001-9635-4169,10.1016/j.neuron.2019.05.019
0000-0002-2915-720X,10.1016/j.neuron.2019.05.019
0000-0002-5480-6638,10.1016/j.neuron.2019.05.019
0000-0003-4316-6855,10.1016/j.neuron.2019.05.019
0000-0002-7885-735X,10.3390/toxins13070449
0000-0001-5509-0996,10.3390/toxins13070449
0000-0002-5934-3257,10.1016/j.patter.2021.100227
0000-0001-9486-1458,10.1016/j.patter.2021.100227
0000-0002-8738-5825,10.1016/j.patter.2021.100227
0000-0002-8968-0713,10.1016/j.patter.2021.100227
0000-0003-2049-1161,10.1016/j.patter.2021.100227
0000-0002-1089-5675,10.1016/j.patter.2021.100227
0000-0003-3280-6255,10.1093/bioinformatics/btab280
0000-0003-4303-1678,10.1093/bioinformatics/btab280
0000-0002-1239-8250,10.3389/fpubh.2021.695139
0000-0002-4603-9838,10.3389/fpubh.2021.695139
0000-0003-4598-3998,10.3389/fpubh.2021.695139
0000-0002-6084-418X,10.3389/fpubh.2021.695139
0000-0003-3280-6255,10.3389/fpubh.2021.695139
0000-0003-2788-9754,10.1093/cercor/bhab254
0000-0003-4856-0835,10.1093/cercor/bhab254
0000-0001-9486-1458,10.1093/cercor/bhab254
0000-0003-3280-6255,10.1093/cercor/bhab254
0000-0003-4303-1678,10.1093/cercor/bhab254
0000-0002-6678-320X,10.1093/cercor/bhab254
0000-0002-0699-5825,10.1038/s41467-021-24884-1
0000-0002-7934-8661,10.1038/s41598-021-94002-0
0000-0002-8070-0378,10.3389/fncir.2021.718270
0000-0002-3632-4176,10.1113/JP281711
0000-0002-2574-1732,10.3389/fnmol.2021.604559
0000-0003-3280-6255,10.3389/fnmol.2021.604559
0000-0003-2496-2311,10.1109/ACCESS.2021.3133078
0000-0002-5744-4142,10.1109/ACCESS.2021.3133078
0000-0002-4642-7064,10.1109/ACCESS.2021.3133078
0000-0002-9653-4941,10.1109/ACCESS.2021.3133078
0000-0003-1417-9980,10.1109/ACCESS.2021.3133078
0000-0002-3285-7522,10.1371/journal.pone.0261702
0000-0001-5297-8295,10.1371/journal.pone.0261702
0000-0003-2110-7889,10.1007/s12021-021-09546-3
0000-0002-0395-039X,10.1007/s12021-021-09546-3
0000-0002-3828-6978,10.1007/s12021-021-09546-3
0000-0002-0550-0739,10.1007/s12021-021-09546-3
0000-0003-3280-6255,10.1007/s12021-021-09546-3
0000-0001-9068-6744,10.1007/s12021-021-09546-3
0000-0002-1952-9583,10.1007/s12021-021-09546-3
0000-0002-2915-720X,10.3389/fdata.2022.789962
0000-0003-2788-9754,10.1016/j.celrep.2022.110586
0000-0001-9486-1458,10.1016/j.celrep.2022.110586
0000-0002-2915-720X,10.1016/j.celrep.2022.110586
0000-0002-9539-5070,10.1016/j.celrep.2022.110586
0000-0002-1007-9061,10.1007/s12021-022-09566-7
0000-0002-4603-9838,10.1007/s12021-022-09566-7
0000-0002-8406-3871,10.1007/s12021-022-09566-7
0000-0002-9671-0917,10.3390/membranes12010017
0000-0002-5201-7977,10.3390/membranes12010017
0000-0002-7885-735X,10.3390/membranes12010017
0000-0002-2270-1989,10.1016/j.jtbi.2022.111090
0000-0003-3280-6255,10.1016/j.jtbi.2022.111090
0000-0002-6678-320X,10.1016/j.jtbi.2022.111090
0000-0003-3656-6682,10.1039/D1SM01668G
0000-0003-1780-9298,10.1039/D1SM01668G
0000-0002-2088-6481,10.1039/D1SM01668G
0000-0002-7885-735X,10.1039/D1SM01668G
0000-0001-6808-7411,10.1039/D1SM01668G
0000-0002-3469-4923,10.1016/j.csbj.2021.12.017
0000-0001-6872-2366,10.1038/s41467-022-30214-w
0000-0003-3288-9820,10.1038/s41467-022-30214-w
0000-0002-8070-0378,10.1038/s41467-022-30214-w
0000-0001-9635-4169,10.1038/s41467-022-30214-w
0000-0002-2915-720X,10.1038/s41467-022-30214-w
0000-0002-1756-801X,10.1038/s41467-022-30214-w
0000-0001-9486-1458,10.1038/s41467-022-30705-w
0000-0002-8738-5825,10.1038/s41467-022-30705-w
0000-0002-1089-5675,10.1038/s41467-022-30705-w
0009-0007-9100-1162,10.3389/fninf.2022.884046
0000-0002-8561-5324,10.3389/fninf.2022.884046
0000-0003-1365-5340,10.1093/cercor/bhac246
0000-0001-5174-0306,10.1093/cercor/bhac246
0000-0002-5585-1166,10.1093/cercor/bhac246
0000-0003-3288-9820,10.1093/cercor/bhac246
0000-0002-5917-983X,10.1093/cercor/bhac246
0000-0002-8118-1450,10.1093/cercor/bhac246
0000-0003-4711-2344,10.7554/eLife.69013
0000-0002-3828-6978,10.7554/eLife.69013
0000-0003-2577-7329,10.7554/eLife.69013
0000-0002-0550-0739,10.7554/eLife.69013
0000-0003-3280-6255,10.7554/eLife.69013
0000-0001-5398-2368,10.1101/2022.08.03.502468
0000-0003-0323-6767,10.1101/2022.08.03.502468
0000-0002-3838-2468,10.1101/2022.08.03.502468
0000-0002-7104-4604,10.1101/2022.08.03.502468
0000-0002-2915-720X,10.1101/2022.08.03.502468
0000-0002-7377-2605,10.1101/2022.08.03.502468
0000-0003-3661-527X,10.1101/2022.08.03.502468
0000-0002-2915-720X,10.1016/j.celrep.2022.111176
0000-0003-3136-8097,10.1016/j.celrep.2022.111176
0000-0002-4793-7541,10.1007/s12021-022-09598-z
0000-0002-7280-9285,10.1007/s12021-022-09598-z
0000-0002-0148-8023,10.1007/s12021-022-09598-z
0000-0002-5287-4848,10.1039/D2SM00387B
0000-0002-3707-659X,10.1039/D2SM00387B
0000-0002-7885-735X,10.1039/D2SM00387B
0000-0002-7280-9285,10.3389/fninf.2022.991609
0000-0002-0148-8023,10.3389/fninf.2022.991609
0000-0003-2015-6590,10.1007/s00422-021-00866-w
0000-0001-6753-4929,10.1007/s00422-021-00866-w
0000-0002-4454-4611,10.1007/s00422-022-00940-x
0000-0003-2788-9754,10.1038/s41593-022-01167-6
0000-0001-5297-733X,10.1038/s41593-022-01167-6
0000-0003-0002-1867,10.1038/s41593-022-01167-6
0000-0001-9434-8902,10.1038/s41593-022-01167-6
0000-0003-2356-9403,10.1038/s41593-022-01167-6
0000-0003-1262-0592,10.1038/s41593-022-01167-6
0000-0002-9539-5070,10.1038/s41593-022-01167-6
0000-0003-2240-9918,10.3389/fninf.2022.883742
0009-0002-1382-0561,10.3389/fninf.2022.883742
0000-0001-8618-5138,10.3389/fninf.2022.883742
0000-0003-2268-0927,10.1038/s41467-022-34073-3
0000-0001-9486-1458,10.1038/s41467-022-34073-3
0000-0003-0486-7333,10.1038/s41467-022-34073-3
0000-0002-8968-0713,10.1038/s41467-022-34073-3
0000-0002-3533-7389,10.1038/s41467-022-34073-3
0000-0003-3758-5199,10.1038/s41467-022-34073-3
0000-0002-1089-5675,10.1038/s41467-022-34073-3
0000-0001-8029-4288,10.1101/2022.11.11.516108
0000-0001-7301-2350,10.1101/2022.11.11.516108
0000-0002-7549-9657,10.1093/bib/bbac491
0000-0003-1239-4871,10.1093/bib/bbac491
0000-0003-4856-0835,10.1093/bib/bbac491
0000-0003-4303-1678,10.1093/bib/bbac491
0000-0002-6678-320X,10.1093/bib/bbac491
0000-0002-7104-4604,10.1016/j.patter.2023.100855
0000-0002-2915-720X,10.1016/j.patter.2023.100855
0000-0002-8140-7026,10.1002/glia.24317
0000-0002-8911-0315,10.1002/glia.24317
0000-0003-2496-2311,10.1371/journal.pcbi.1010058
0000-0001-6295-7148,10.1371/journal.pcbi.1010058
