author_uid,article_uid
0000-0001-5354-1044,19427517
0000-0001-5354-5889,35868812
0000-0001-5354-8676,19427517
0000-0001-5356-2419,20813246
0000-0001-5357-1315,32839617
0000-0001-5357-1315,33967700
0000-0001-5357-5017,35868812
0000-0001-5358-8416,35868812
0000-0001-5359-0225,35868812
0000-0001-5360-7517,19427517
0000-0001-5360-8114,37663748
0000-0001-5362-2565,35402637
0000-0001-5363-9041,33192339
0000-0001-5368-1266,35868812
0000-0001-5369-1755,38139047
0000-0001-5370-0578,31353219
0000-0001-5370-6750,27199642
0000-0001-5372-3024,31701150
0000-0001-5374-4407,33103656
0000-0001-5377-6820,19427517
0000-0001-5378-1582,23486202
0000-0001-5382-3420,35216674
0000-0001-5386-5209,32997658
0000-0001-5390-7026,19427517
0000-0001-5392-0570,33816812
0000-0001-5396-4602,36875707
0000-0001-5396-4602,37239135
0000-0001-5397-5416,36261033
0000-0001-5397-6208,30201842
0000-0001-5397-7972,18394479
0000-0001-5398-2368,36221258
0000-0001-5398-2368,PPR528934
0000-0001-5398-5569,24283978
0000-0001-5399-9477,20813246
0000-0001-5401-1280,20813246
0000-0001-5403-4044,37123239
0000-0001-5405-9065,24283978
0000-0001-5408-3954,33937378
0000-0001-5411-7560,34647039
0000-0001-5413-5793,18394479
0000-0001-5416-9328,19427517
0000-0001-5417-0265,28699046
0000-0001-5418-9759,19412172
0000-0001-5419-4793,35447958
0000-0001-5419-4793,35625044
0000-0001-5424-1035,18394479
0000-0001-5425-1946,36694048
0000-0001-5425-4610,35545713
0000-0001-5427-040X,18394479
0000-0001-5427-3950,37122359
0000-0001-5429-505X,29728449
0000-0001-5429-505X,37069271
0000-0001-5430-8631,20813246
0000-0001-5431-1945,33317577
0000-0001-5433-1030,31191291
0000-0001-5436-6532,32246730
0000-0001-5438-5151,19804761
0000-0001-5438-5151,21115639
0000-0001-5438-5151,23184514
0000-0001-5438-5151,26689544
0000-0001-5444-8829,17409166
0000-0001-5445-0507,25340814
0000-0001-5445-0507,26657024
0000-0001-5445-0507,26916562
0000-0001-5445-0507,27145441
0000-0001-5445-0507,28671947
0000-0001-5445-0507,29165247
0000-0001-5445-0507,29360104
0000-0001-5445-0507,30419016
0000-0001-5445-0507,31875541
0000-0001-5445-0507,34370727
0000-0001-5445-0507,35857898
0000-0001-5445-0507,37399220
0000-0001-5445-0507,37528732
0000-0001-5445-0507,38007691
0000-0001-5445-0507,38394339
0000-0001-5449-1640,18801922
0000-0001-5449-1640,22654827
0000-0001-5449-1640,22745599
0000-0001-5449-1640,24076546
0000-0001-5449-1640,25732149
0000-0001-5454-2815,29036270
0000-0001-5457-0912,19543540
0000-0001-5458-891X,20813246
0000-0001-5459-0366,18394479
0000-0001-5465-9941,29311610
0000-0001-5467-9264,30618698
0000-0001-5467-9264,32473095
0000-0001-5472-3296,35788684
0000-0001-5477-0332,35868812
0000-0001-5483-3102,19427517
0000-0001-5484-0660,18568015
0000-0001-5484-0660,18982097
0000-0001-5484-0660,19949485
0000-0001-5484-0660,20963826
0000-0001-5484-0660,21031559
0000-0001-5484-0660,21109663
0000-0001-5484-0660,21305364
0000-0001-5484-0660,23365213
0000-0001-5484-0660,23385869
0000-0001-5484-0660,23761740
0000-0001-5484-0660,25056931
0000-0001-5484-0660,25288199
0000-0001-5484-0660,25420745
0000-0001-5484-0660,25505405
0000-0001-5484-0660,26347617
0000-0001-5484-0660,26451489
0000-0001-5484-0660,26500503
0000-0001-5484-0660,26762857
0000-0001-5484-0660,26778972
0000-0001-5484-0660,27345531
0000-0001-5484-0660,27375436
0000-0001-5484-0660,27609882
0000-0001-5484-0660,27710767
0000-0001-5484-0660,27832100
0000-0001-5484-0660,28683264
0000-0001-5484-0660,28721455
0000-0001-5484-0660,29875639
0000-0001-5484-0660,29897896
0000-0001-5484-0660,30008663
0000-0001-5484-0660,30060007
0000-0001-5484-0660,30113619
0000-0001-5484-0660,30558530
0000-0001-5484-0660,30618651
0000-0001-5484-0660,31665237
0000-0001-5484-0660,36413612
0000-0001-5484-0660,37455478
0000-0001-5484-0660,38168772
0000-0001-5484-0660,38745556
0000-0001-5484-1137,36834621
0000-0001-5488-0902,32839617
0000-0001-5490-1961,25522391
0000-0001-5492-0767,18394479
0000-0001-5492-3925,35868812
0000-0001-5492-6528,35868812
0000-0001-5493-689X,35868812
0000-0001-5494-075X,19427517
0000-0001-5500-0487,20813246
0000-0001-5500-607X,35513720
0000-0001-5502-9984,20813246
0000-0001-5503-648X,25309419
0000-0001-5503-648X,30201843
0000-0001-5503-648X,30455637
0000-0001-5503-648X,31201122
0000-0001-5503-648X,PMC4126487
0000-0001-5504-4164,29312881
0000-0001-5504-5853,19427517
0000-0001-5505-6333,19427517
0000-0001-5505-6931,19427517
0000-0001-5509-0996,29502867
0000-0001-5509-0996,31396522
0000-0001-5509-0996,32385270
0000-0001-5509-0996,34135326
0000-0001-5509-0996,34203472
0000-0001-5509-0996,36214373
0000-0001-5509-0996,36342474
0000-0001-5509-0996,38228588
0000-0001-5509-3580,30123852
0000-0001-5509-5236,37578973
0000-0001-5510-7938,30519836
0000-0001-5511-3780,35145021
0000-0001-5511-6375,20813246
0000-0001-5513-5955,19427517
0000-0001-5514-2768,38160857
0000-0001-5516-4043,20813246
0000-0001-5516-9282,19427517
0000-0001-5517-8525,25309320
0000-0001-5519-842X,23533106
0000-0001-5521-2543,20813246
0000-0001-5523-8612,25538574
0000-0001-5524-852X,35868812
0000-0001-5525-5025,30847931
0000-0001-5527-3688,35868812
0000-0001-5532-4481,28922855
0000-0001-5535-7013,31399614
0000-0001-5535-7865,30034320
0000-0001-5538-373X,31329076
0000-0001-5538-6658,31589884
0000-0001-5544-0925,30689846
0000-0001-5550-1222,26289473
0000-0001-5550-9072,35868812
0000-0001-5550-9291,20081851
0000-0001-5550-9291,25003184
0000-0001-5550-9291,31968242
0000-0001-5550-9291,32783810
0000-0001-5550-9291,36001978
0000-0001-5550-9291,36384682
0000-0001-5553-9378,18394479
0000-0001-5555-2839,29915195
0000-0001-5555-2839,30359598
0000-0001-5555-8325,19427517
0000-0001-5556-0919,29283205
0000-0001-5558-2528,35868812
0000-0001-5560-4723,22479396
0000-0001-5560-4723,24574975
0000-0001-5563-4877,35868812
0000-0001-5564-301X,19427517
0000-0001-5566-9551,20813246
0000-0001-5569-3797,21124805
0000-0001-5574-3336,31551707
0000-0001-5575-8749,35868812
0000-0001-5576-1083,35260862
0000-0001-5577-0115,29209170
0000-0001-5577-1206,34764308
0000-0001-5578-4023,27704211
0000-0001-5581-515X,18394479
0000-0001-5585-0975,17185420
0000-0001-5585-0975,27926356
0000-0001-5588-6644,20813246
0000-0001-5590-2683,19427517
0000-0001-5590-8540,18394479
0000-0001-5591-238X,19658724
0000-0001-5595-4758,35868812
0000-0001-5600-0999,19427517
0000-0001-5601-942X,19427517
0000-0001-5611-5518,18394479
0000-0001-5612-1600,31272478
0000-0001-5615-121X,33932337
0000-0001-5616-3181,35868812
0000-0001-5617-127X,33556070
0000-0001-5617-127X,34449771
0000-0001-5619-1123,19412172
0000-0001-5621-7311,26448360
0000-0001-5621-7311,26933741
0000-0001-5621-7311,28839164
0000-0001-5623-5085,20813246
0000-0001-5627-8026,19427517
0000-0001-5628-8187,33443203
0000-0001-5628-8187,37989740
0000-0001-5629-3517,20813246
0000-0001-5630-4095,23874180
0000-0001-5630-4095,24474916
0000-0001-5630-4095,26657024
0000-0001-5630-4095,27213810
0000-0001-5630-4095,27797828
0000-0001-5630-7181,32795398
0000-0001-5633-9159,18044016
0000-0001-5634-8602,20813246
0000-0001-5635-0876,26822917
0000-0001-5635-1852,35868812
0000-0001-5635-3524,33513859
0000-0001-5636-555X,18394479
0000-0001-5643-0307,18394479
0000-0001-5646-4750,27526206
0000-0001-5646-4750,29993122
0000-0001-5647-9477,20813246
0000-0001-5649-9603,33113364
0000-0001-5651-1860,30689846
0000-0001-5651-9459,30840900
0000-0001-5652-0150,35868812
0000-0001-5652-782X,19427517
0000-0001-5655-8490,31498083
0000-0001-5655-8490,32839617
0000-0001-5655-8490,34566847
0000-0001-5656-7987,34285373
0000-0001-5656-7987,36912046
0000-0001-5658-2482,19427517
0000-0001-5659-0730,24706574
0000-0001-5661-8115,35868812
0000-0001-5663-6372,27184384
0000-0001-5665-4781,19396156
0000-0001-5665-4781,20134425
0000-0001-5665-4781,22683681
0000-0001-5671-4879,34175994
0000-0001-5673-3164,20813246
0000-0001-5674-7953,29502301
0000-0001-5674-7953,34366800
0000-0001-5678-3030,17099707
0000-0001-5678-3030,21423515
0000-0001-5678-3030,24462103
0000-0001-5678-3030,26494276
0000-0001-5678-3030,29694902
0000-0001-5678-4797,29311848
0000-0001-5678-6303,35868812
0000-0001-5678-9416,35868812
0000-0001-5680-9085,34276331
0000-0001-5681-292X,33470930
0000-0001-5683-060X,30598527
0000-0001-5683-1717,24905689
0000-0001-5683-5339,20813246
0000-0001-5684-6388,19427517
0000-0001-5685-0272,27023834
0000-0001-5689-4259,36463186
0000-0001-5691-108X,35080491
0000-0001-5692-2627,31213994
0000-0001-5692-8770,34856436
0000-0001-5695-9358,18394479
0000-0001-5698-6014,29357463
0000-0001-5698-6540,20813246
0000-0001-5699-9093,21277876
0000-0001-5699-9093,24027504
0000-0001-5699-9587,31024259
0000-0001-5703-8403,19427517
0000-0001-5705-7495,23400808
0000-0001-5707-0999,18394479
0000-0001-5710-7421,32895566
0000-0001-5711-6571,20813246
0000-0001-5713-434X,20813246
0000-0001-5714-1400,24133414
0000-0001-5714-1400,25826696
0000-0001-5714-1400,33058767
0000-0001-5714-2526,28848380
0000-0001-5715-8077,37925553
0000-0001-5718-5462,27589961
0000-0001-5718-5462,28605770
0000-0001-5719-1088,18394479
0000-0001-5721-8236,18394479
0000-0001-5721-9124,31920559
0000-0001-5725-6910,32092054
0000-0001-5725-6910,36193886
0000-0001-5729-4773,37596305
0000-0001-5733-9089,25164666
0000-0001-5733-9089,26823512
0000-0001-5735-8335,36996813
0000-0001-5739-5726,35868812
0000-0001-5746-7742,19427517
0000-0001-5746-8737,37723170
0000-0001-5746-9369,35868812
0000-0001-5746-9430,20813246
0000-0001-5746-9465,PMC7302241
0000-0001-5748-3996,31614450
0000-0001-5748-6900,18568015
0000-0001-5748-6900,18579081
0000-0001-5748-6900,21154909
0000-0001-5748-6900,21469958
0000-0001-5748-6900,23312523
0000-0001-5748-6900,23385869
0000-0001-5748-6900,23595603
0000-0001-5748-6900,24637201
0000-0001-5748-6900,26844832
0000-0001-5748-6900,27477017
0000-0001-5748-6900,27609882
0000-0001-5748-6900,27618674
0000-0001-5748-6900,28254942
0000-0001-5748-6900,32480351
0000-0001-5748-6900,33730511
0000-0001-5753-7069,33443089
0000-0001-5756-063X,20813246
0000-0001-5756-3769,19770187
0000-0001-5756-3769,20838653
0000-0001-5756-3769,21240273
0000-0001-5756-3769,21383177
0000-0001-5756-3769,21629822
0000-0001-5756-3769,23423949
0000-0001-5756-3769,23889937
0000-0001-5756-3769,25995352
0000-0001-5756-3769,26451489
0000-0001-5756-3769,28659782
0000-0001-5756-3769,30715238
0000-0001-5756-3769,PPR80799
0000-0001-5757-9066,19427517
0000-0001-5757-9066,31182787
0000-0001-5758-3073,27574309
0000-0001-5767-8689,35868812
0000-0001-5768-6339,18394479
0000-0001-5769-2341,30371963
0000-0001-5770-2458,23312517
0000-0001-5770-6723,19427517
0000-0001-5771-5865,25475128
0000-0001-5774-3479,19427517
0000-0001-5776-2506,33504954
0000-0001-5777-5411,18394479
0000-0001-5780-1712,25157963
0000-0001-5781-6498,30059985
0000-0001-5781-6498,34305535
0000-0001-5789-8497,23914157
0000-0001-5789-8497,31533036
0000-0001-5791-1823,19427517
0000-0001-5791-336X,31339177
0000-0001-5792-2282,19427517
0000-0001-5792-2362,19427517
0000-0001-5793-534X,18394479
0000-0001-5794-5425,23133368
0000-0001-5794-5425,23874180
0000-0001-5794-5425,25400575
0000-0001-5794-5425,32841234
0000-0001-5794-5425,35002599
0000-0001-5794-5425,35645755
0000-0001-5797-2386,33442056
0000-0001-5798-9348,18394479
0000-0001-5799-5182,27195153
0000-0001-5799-5182,37860223
0000-0001-5800-0407,23986690
0000-0001-5800-1442,18394479
0000-0001-5800-474X,20813246
0000-0001-5800-5128,26149713
0000-0001-5800-5128,36323788
0000-0001-5801-5510,34019658
0000-0001-5803-1174,30150662
0000-0001-5803-8982,27732792
0000-0001-5803-8982,29706545
0000-0001-5806-2253,27517463
0000-0001-5808-8189,31220077
0000-0001-5809-6306,23577752
0000-0001-5809-6306,24304264
0000-0001-5809-6306,29346754
0000-0001-5809-6306,35392440
0000-0001-5811-9838,31614907
0000-0001-5814-9412,24027504
0000-0001-5816-2051,36316447
0000-0001-5816-4348,23747709
0000-0001-5818-9457,20813246
0000-0001-5819-1522,29925890
0000-0001-5822-2624,35868812
0000-0001-5822-3731,20813246
0000-0001-5822-8858,32553116
0000-0001-5823-8300,19427517
0000-0001-5824-0056,29628188
0000-0001-5824-8859,35012844
0000-0001-5828-0867,26687219
0000-0001-5828-0867,27147981
0000-0001-5828-0867,27809997
0000-0001-5828-442X,18394479
0000-0001-5828-7882,33967728
0000-0001-5830-3328,27589961
0000-0001-5831-3307,36316447
0000-0001-5836-1245,27686222
0000-0001-5838-0374,20813246
0000-0001-5838-7963,34944436
0000-0001-5838-9467,26296747
0000-0001-5844-2344,20813246
0000-0001-5848-2573,18394479
0000-0001-5850-3450,35868812
0000-0001-5851-212X,36823458
0000-0001-5852-8156,35868812
0000-0001-5853-2737,20813246
0000-0001-5856-2813,32572236
0000-0001-5857-4144,20813246
0000-0001-5860-7129,35868812
0000-0001-5862-0219,35354025
0000-0001-5869-3485,36776149
0000-0001-5869-6790,20813246
0000-0001-5870-5722,33870051
0000-0001-5870-8843,32154064
0000-0001-5871-9331,27147981
0000-0001-5871-9331,28858413
0000-0001-5871-9331,35346838
0000-0001-5871-9331,36914673
0000-0001-5874-0210,22034427
0000-0001-5875-5578,18394479
0000-0001-5878-1434,20813246
0000-0001-5881-0282,29557782
0000-0001-5882-7252,36191204
0000-0001-5884-794X,18568015
0000-0001-5884-794X,20617186
0000-0001-5884-794X,22922685
0000-0001-5884-794X,22941716
0000-0001-5884-794X,23799473
0000-0001-5884-794X,38503769
0000-0001-5889-3022,34315910
0000-0001-5891-6300,33113364
0000-0001-5892-6074,34019658
0000-0001-5893-0831,35165441
0000-0001-5894-9268,38605024
0000-0001-5895-0330,20813246
0000-0001-5895-7807,24607890
0000-0001-5895-8973,20813246
0000-0001-5896-2569,20813246
0000-0001-5900-2084,35630895
0000-0001-5900-9382,19427517
0000-0001-5900-9913,37550300
0000-0001-5901-4595,37198601
0000-0001-5903-7113,18394479
0000-0001-5909-4222,22735452
0000-0001-5909-4265,20813246
0000-0001-5911-0472,33230329
0000-0001-5913-8061,20813246
0000-0001-5915-5283,19427517
0000-0001-5917-8688,30263963
0000-0001-5924-9175,31058383
0000-0001-5924-9175,31145508
0000-0001-5926-8042,27589961
0000-0001-5927-0310,19427517
0000-0001-5929-4689,35868812
0000-0001-5929-497X,20813246
0000-0001-5930-5616,35868812
0000-0001-5934-4375,33398017
0000-0001-5934-4375,35977934
0000-0001-5934-739X,19427517
0000-0001-5934-7816,26689543
0000-0001-5935-0046,30728768
0000-0001-5941-3449,20813246
0000-0001-5941-4038,18394479
0000-0001-5945-2923,20813246
0000-0001-5948-3092,27373836
0000-0001-5948-5493,27312902
0000-0001-5950-026X,18394479
0000-0001-5951-3271,35346838
0000-0001-5953-4160,21811443
0000-0001-5955-716X,35868812
0000-0001-5963-8576,17442244
0000-0001-5963-8576,24763087
0000-0001-5963-8576,24795618
0000-0001-5963-8576,25309419
0000-0001-5963-8576,26500503
0000-0001-5963-8576,30201842
0000-0001-5963-8576,30201843
0000-0001-5963-8576,30201845
0000-0001-5963-8576,30455637
0000-0001-5963-8576,32092054
0000-0001-5963-8576,32598315
0000-0001-5963-8576,36867658
0000-0001-5965-8470,26398192
0000-0001-5965-8470,27148038
0000-0001-5965-8470,30450039
0000-0001-5965-8470,31141518
0000-0001-5965-8470,32632099
0000-0001-5965-8470,32733210
0000-0001-5965-8470,33385111
0000-0001-5965-8470,37783883
0000-0001-5966-8556,33916676
0000-0001-5972-647X,19427517
0000-0001-5972-8790,37707611
0000-0001-5973-0049,35687679
0000-0001-5974-3755,29326579
0000-0001-5975-8914,28922855
0000-0001-5979-1255,35735531
0000-0001-5982-0060,20813246
0000-0001-5984-4572,35977934
0000-0001-5984-5516,32223745
0000-0001-5985-3030,38334747
0000-0001-5988-7409,28983044
0000-0001-5990-1266,29220439
0000-0001-5991-5991,33665575
0000-0001-5992-4468,28699046
0000-0001-5993-7058,19427517
0000-0001-5993-8245,28060929
0000-0001-5993-8245,34658777
0000-0001-5995-718X,19427517
0000-0001-5996-171X,20813246
0000-0001-5997-3665,28699046
0000-0001-5998-9640,36146344
0000-0001-5999-6269,29220439
0000-0001-6005-7242,19427517
0000-0001-6006-9921,26001536
0000-0001-6007-9871,20813246
0000-0001-6009-7471,18394479
0000-0001-6013-1254,20813246
0000-0001-6014-1356,35494840
0000-0001-6017-7279,29507147
0000-0001-6017-9522,20813246
0000-0001-6021-747X,35024534
0000-0001-6023-0519,36624525
0000-0001-6024-1752,35868812
0000-0001-6024-3854,37723170
0000-0001-6025-8511,26543902
0000-0001-6028-9764,23394773
0000-0001-6028-9764,32747763
0000-0001-6034-5068,20813246
0000-0001-6034-7143,35868812
0000-0001-6035-4255,19427517
0000-0001-6036-8358,33828474
0000-0001-6036-8358,34276331
0000-0001-6037-0407,38074075
0000-0001-6040-3520,21967351
0000-0001-6040-3520,23162433
0000-0001-6040-3520,23674373
0000-0001-6042-1366,24283978
0000-0001-6042-4452,33192344
0000-0001-6043-2153,35868812
0000-0001-6046-5289,23176296
0000-0001-6046-5289,26005406
0000-0001-6046-5289,28726769
0000-0001-6047-3713,24202236
0000-0001-6051-1361,35868812
0000-0001-6051-2241,37824619
0000-0001-6052-7806,20813246
0000-0001-6055-0811,37811002
0000-0001-6059-4590,18394479
0000-0001-6062-6441,31302827
0000-0001-6063-1523,18394479
0000-0001-6064-7584,34569685
0000-0001-6067-0215,29040472
0000-0001-6078-0721,27686222
0000-0001-6081-8347,22753490
0000-0001-6081-8347,26402602
0000-0001-6089-0613,34449771
0000-0001-6089-0613,36635961
0000-0001-6089-8826,18394479
0000-0001-6091-3088,27991900
0000-0001-6093-7282,35868812
0000-0001-6094-5127,19427517
0000-0001-6094-7106,29209170
0000-0001-6099-667X,25374534
0000-0001-6099-667X,31022182
0000-0001-6099-667X,32841234
0000-0001-6099-667X,33746728
0000-0001-6099-667X,36310713
