article_uid_source,article_uid_target
33810614,30546301
33746712,30546301
33627658,30546301
33570495,30546301
33479483,30546301
33551759,30546301
33445747,30546301
33412093,30546301
33361464,30546301
33158189,30546301
33192299,30546301
33089778,30546301
33007242,30546301
32795398,30546301
32632099,30546301
32594910,30546301
32461156,30546301
32508601,30546301
32351352,30546301
32792868,30546301
33343053,30546301
32684913,30546301
31699990,30546301
31444616,30546301
31805368,30546301
31351745,30546301
31133838,30546301
30949042,30546301
30670054,30546301
38100453,30443819
36344713,30443819
35321479,30443819
34944436,30443819
33226547,30443819
32867863,30443819
32219575,30443819
38636794,30405363
38600598,30405363
38610511,30405363
38531892,30405363
38427616,30405363
38164577,30405363
38078626,30405363
38404300,30405363
38289953,30405363
38050098,30405363
38104136,30405363
37938772,30405363
37925553,30405363
37903612,30405363
37871533,30405363
37848024,30405363
37828821,30405363
37676767,30405363
37686396,30405363
37687953,30405363
37491366,30405363
37563104,30405363
37636060,30405363
37550347,30405363
37523567,30405363
37486917,30405363
37430038,30405363
37357562,30405363
37397462,30405363
37388411,30405363
37288063,30405363
37235473,30405363
37265780,30405363
37234065,30405363
37144870,30405363
37032328,30405363
36996085,30405363
36952558,30405363
36941607,30405363
37007642,30405363
36902309,30405363
36604975,30405363
36613790,30405363
36563678,30405363
36542673,30405363
36551143,30405363
36259728,30405363
36458002,30405363
36347441,30405363
36323788,30405363
36284123,30405363
36239373,30405363
36299292,30405363
36161912,30405363
35963238,30405363
36238374,30405363
35948532,30405363
35985893,30405363
35930667,30405363
35907928,30405363
35906273,30405363
36908881,30405363
35853724,30405363
35801638,30405363
35927026,30405363
35778467,30405363
35771910,30405363
34782573,30405363
35892035,30405363
35589403,30405363
35560321,30405363
35584915,30405363
35467163,30405363
35451150,30405363
35367512,30405363
35260862,30405363
35254911,30405363
35177691,30405363
35165441,30405363
35138891,30405363
36196123,30405363
35155401,30405363
35080429,30405363
35060903,30405363
36031901,30405363
35471541,30405363
34943547,30405363
34997716,30405363
34856436,30405363
34789880,30405363
35647605,30405363
34706559,30405363
34746147,30405363
34387659,30405363
34638890,30405363
34569685,30405363
34572352,30405363
34400843,30405363
34456688,30405363
34374948,30405363
34293940,30405363
34277358,30405363
34093866,30405363
33939923,30405363
33894220,30405363
33967728,30405363
33806259,30405363
33654676,30405363
33619256,30405363
33555254,30405363
33510283,30405363
33510253,30405363
33680555,30405363
33473113,30405363
33302995,30405363
33385111,30405363
33279620,30405363
33273572,30405363
33229500,30405363
33312155,30405363
33158189,30405363
33114694,30405363
33093481,30405363
33192344,30405363
33048047,30405363
32925170,30405363
34589886,30405363
32726162,30405363
32632099,30405363
32589925,30405363
34296100,30405363
32515672,30405363
32516574,30405363
32473095,30405363
32508601,30405363
32413082,30405363
32303271,30405363
32223745,30405363
32183137,30405363
32158520,30405363
32090868,30405363
32058296,30405363
32027647,30405363
32001673,30405363
31960269,30405363
31887157,30405363
31846124,30405363
31623918,30405363
31591398,30405363
31548233,30405363
31474875,30405363
31456667,30405363
30546301,30405363
38617564,30356701
37941679,30356701
36598942,30356701
35584693,30356701
34018704,30356701
32026946,30356701
31031601,30356701
37133688,30319342
36434788,30319342
34436491,30319342
34252950,30319342
33859995,30319342
32657395,30319342
38345923,30222740
38130870,30222740
38130706,30222740
38025966,30222740
37904732,30222740
38035193,30222740
37792146,30222740
37649730,30222740
37294503,30222740
37137938,30222740
