author_uid,institution_uid,start_date,end_date
0000-0001-5033-4824,grid.5373.2,2010-06-15,2013-10-16
0000-0001-5033-4824,grid.5373.2,2007-09-03,2010-06-04
0000-0001-5033-4824,grid.5373.2,2014-02-10,2018-03-31
0000-0001-5033-4824,grid.7737.4,2011-09-01,2014-03-31
0000-0001-5033-4824,grid.7737.4,2010-05-24,2010-08-17
0000-0001-5036-9867,115506,2022-09-01,2023-09-01
0000-0001-5036-9867,https://ror.org/01dzjez04,2016-02-15,
0000-0001-5039-3517,16756,,
0000-0001-5039-9839,grid.444967.c,,
0000-0001-5040-6023,https://ror.org/03q8dnn23,,
0000-0001-5043-792X,119651,2012-11-01,
0000-0001-5043-792X,119651,2002-01-01,2012-10-31
0000-0001-5043-792X,18998,1999-01-01,2002-01-17
0000-0001-5043-792X,18998,1990-10-01,1995-07-14
0000-0001-5045-4527,grid.8302.9,,
0000-0001-5045-4527,http://dx.doi.org/10.13039/501100003010,,
0000-0001-5047-4288,3a9fdd34,2008-01-01,2012-01-01
0000-0001-5047-4288,3a9fdd34,2001-01-01,2007-01-01
0000-0001-5047-4288,3a9fdd34,2013-01-01,
0000-0001-5047-4288,3a9fdd34,2010-01-01,2013-01-01
0000-0001-5050-2509,12810,1998-04-01,2001-03-31
0000-0001-5050-2509,12810,1991-04-01,1997-03-31
0000-0001-5050-2509,1480870e,,
0000-0001-5055-5969,94ba4a19,2018-08-01,2021-03-01
0000-0001-5055-5969,https://ror.org/03kw9gc02,2021-03-23,
0000-0001-5057-8300,1190,2013-05-01,2014-04-30
0000-0001-5057-8300,3ef79f7a,2022-11-01,
0000-0001-5057-8300,http://dx.doi.org/10.13039/501100001834,2009-01-01,2013-04-30
0000-0001-5057-8300,https://ror.org/02cvp5j67,2014-06-01,2022-10-31
0000-0001-5058-0312,5620,2004-01-01,2011-01-01
0000-0001-5059-8846,12589,2022-01-04,
0000-0001-5059-8846,12591,2012-09-01,2017-12-01
0000-0001-5059-8846,21611,2021-04-15,2021-09-07
0000-0001-5059-8846,21611,2018-04-02,2021-04-15
0000-0001-5062-0038,234937,2019-02-01,
0000-0001-5062-3319,de7d5a3b,2018-08-13,2020-05-30
0000-0001-5062-3319,grid.17635.36,2020-06-15,
0000-0001-5063-1589,1974,2015-06-01,
0000-0001-5063-1589,1974,2015-06-01,
0000-0001-5063-1589,1974,2015-06-01,
0000-0001-5063-1589,1974,2015-06-01,
0000-0001-5063-1589,1974,2015-06-01,
0000-0001-5063-1589,1974,2015-06-01,
0000-0001-5063-1589,1974,2015-06-01,
0000-0001-5063-1589,1974,2015-06-01,
0000-0001-5063-1589,2219,1984-04-04,1987-12-30
0000-0001-5063-1589,2219,1984-04-04,1987-12-30
0000-0001-5063-1589,2219,1984-04-04,1987-12-30
0000-0001-5063-1589,2219,1984-04-04,1987-12-30
0000-0001-5063-1589,2219,1984-04-04,1987-12-30
0000-0001-5063-1589,2219,1984-04-04,1987-12-30
0000-0001-5063-1589,2219,1984-04-04,1987-12-30
0000-0001-5063-1589,2219,1984-04-04,1987-12-30
0000-0001-5067-1791,83133,2018-10-09,
0000-0001-5067-1791,e410c877,,
0000-0001-5067-3199,12301,2009-08-01,2014-07-30
0000-0001-5067-3199,12301,2005-08-01,2009-05-22
0000-0001-5067-3199,36373,2019-12-02,
0000-0001-5067-3199,47966,2014-09-01,2016-08-15
0000-0001-5067-3199,9470,2016-08-15,2019-11-30
0000-0001-5072-3678,https://ror.org/01db6h964,2008-08-21,2011-06-20
0000-0001-5072-3678,https://ror.org/01db6h964,2020-03-01,
0000-0001-5072-3678,https://ror.org/01db6h964,2008-08-21,2011-06-20
0000-0001-5072-3678,https://ror.org/01db6h964,2020-03-01,
0000-0001-5072-3678,https://ror.org/05a28rw58,2012-12-01,2017-03-10
0000-0001-5072-3678,https://ror.org/05a28rw58,2011-09-18,2013-06-20
0000-0001-5072-3678,https://ror.org/05a28rw58,2012-12-01,2017-03-10
0000-0001-5072-3678,https://ror.org/05a28rw58,2011-09-18,2013-06-20
0000-0001-5077-0052,35055bcc,2007-04-02,2013-03-31
0000-0001-5077-0052,35055bcc,2003-04-02,2007-03-31
0000-0001-5077-0052,35055bcc,2015-05-01,2015-12-31
0000-0001-5077-0052,35055bcc,2013-04-01,2015-04-30
0000-0001-5077-0052,35055bcc,2007-04-02,2013-03-31
0000-0001-5077-0052,35055bcc,2003-04-02,2007-03-31
0000-0001-5077-0052,35055bcc,2015-05-01,2015-12-31
0000-0001-5077-0052,35055bcc,2013-04-01,2015-04-30
0000-0001-5077-0052,6429,2016-01-04,2024-01-15
0000-0001-5077-0052,6429,2016-01-04,2024-01-15
0000-0001-5077-0052,https://ror.org/01yc7t268,2024-01-16,
0000-0001-5077-0052,https://ror.org/01yc7t268,2024-01-16,
0000-0001-5079-0619,151628,2007-10-01,2008-06-30
0000-0001-5079-0619,166231,2018-09-26,
0000-0001-5079-0619,28687,1988-01-15,1992-01-15
0000-0001-5079-0619,29737,2002-09-18,2004-01-01
0000-0001-5079-0619,322565,2012-06-06,2016-08-31
0000-0001-5079-0619,354957,2009-10-01,2012-01-16
0000-0001-5079-0619,356652,1994-09-18,1999-10-29
0000-0001-5079-0619,5292,2004-10-25,2008-03-04
0000-0001-5079-0619,5292,2016-09-08,2018-02-28
0000-0001-5079-0619,68431a7a,1992-12-02,1993-07-07
0000-0001-5079-0619,79265,2000-09-09,2002-04-15
0000-0001-5079-0619,8ab4e8f9,2009-03-01,2009-07-01
0000-0001-5080-1015,26469,1998-09-01,2001-06-30
0000-0001-5080-1015,26469,2001-07-01,2004-12-31
0000-0001-5080-1015,47885,2005-01-01,
0000-0001-5083-4669,882330e1,2013-01-01,2013-01-01
0000-0001-5083-4669,882330e1,2008-01-01,2008-01-01
0000-0001-5083-4669,882330e1,2018-01-01,
0000-0001-5083-4669,882330e1,2015-01-01,2018-01-01
0000-0001-5083-4669,b13d392d,2015-01-01,
0000-0001-5083-4669,b13d392d,2012-01-01,2015-01-01
0000-0001-5083-4669,b13d392d,2008-01-01,2012-01-01
0000-0001-5087-2673,7991,2019-07-01,2023-08-15
0000-0001-5087-2673,cb760263,2023-08-16,
0000-0001-5094-7321,34912,2007-09-06,2013-06-23
0000-0001-5094-7321,34912,2007-09-06,2013-06-23
0000-0001-5094-7321,34912,2007-09-06,2013-06-23
0000-0001-5094-7321,42710,2011-02-27,
0000-0001-5094-7321,42710,2011-02-27,
0000-0001-5094-7321,42710,2011-02-27,
0000-0001-5096-7621,https://ror.org/036nfer12,2022-08-01,
0000-0001-5099-0274,9169,2022-01-28,
0000-0001-5099-0274,grid.412282.f,2019-09-15,
